Index,Entry Word,Part of Speech,Affix,Definition
1,ačavimasko,adv mod,,ћутљиво
2,ačhavol,v tr,,зауставити
3,ačhipe,n m,,1. тишина 2. мирноћа
4,ačhol,v itr,,"стајати, остати, зауставити се"
5,ačhol pe,v itr,,смирити се
6,aďe,adv temp,,данас
7,adresa,n f,,адреса
8,advokato,n m,,адвокат
9,aerodrom,n m,,аеродром
10,agor ,n m,,"крај, конац"
11,agor planinako,n phr m,,врх планине
12,agorengo,adj,,угљени
13,agrusňi,n f,,прстен
14,ajkula,n f,,ајкула
15,ajmforto,n m,,тераса
16,akana,adv temp,,1. сада 2. одмах
17,akharipe,n m,,"зов, позив (на вечеру), вик"
18,akharol,v tr,,"1. (по)звати 2. позвати 3. наименовати, назвати"
19,akharol,v itr,,звати се
20,akhor,n m,,орах
21,akhoresko,adj m,,орахов
22,akhoresko kaš,n phr m,,орах (дрво)
23,ako,conj,,ако
24,aktivnost,n m,,"активност, делатност"
25,akto,n m,,"досје, кошуљица, акт"
26,alav,n m,,1. реч 2. име 3. глас
27,albumo,n m,,албум
28,amajlija,n f,,амајлија
29,amal,n m,,"пријатељ, друг, комшиа"
30,amaro,pron poss 1 sg m,,наш
31,ambari,n m,,"амбар, житница"
32,ambrol,n m,,крушка
33,ambrolako kaš,n phr m,,крушка (дрво)
34,amen,pron pers 1 pl,,ми
35,ande aďesutni vŕama,adv phr temp,,у данашње време
36,ande bari mera,adv phr mod,,у великој мери
37,ande durimaski vŕama,adv phr temp,,"у давној прошлости, давно"
38,ande jokharimaste,adv phr mod,,"нагло, изненада"
39,ande mardi,adv phr temp,,у уторак
40,ande maskarthemutni vŕama,adv phr temp,,у међувремену
41,ande tatraďi,adv phr temp,,у среду
42,ande tomna,adv phr temp,,у јесен
43,anďelo,n m,,анђео
44,anďeo,n m,,анђео
45,ando,prep,,"у (смер), унутра, на, за, до"
46,ando,adv loc,,у
47,ando ivend,adv phr temp,,у зиму
48,ando kurko,adv phr temp,,"у недељу, недељом"
49,ando lujo,adv phr temp,,у понедељак
50,ando milaj,adv phr temp,,у лето
51,ando mismeri,adv phr temp,,у подне
52,ando paraštuj,adv phr temp,,у петак
53,ando proleče,adv phr temp,,у прољеће
54,ando savato ,adv phr temp,,у суботу
55,ando žoj,adv phr temp,,у четвртак
56,andral,adv loc,,"унутра, изнутра"
57,andral,prep,,"унутра, у"
58,angar,n m,,угаљ
59,anglaj ŕat,n phr,,"вече, вечер"
60,anglal,prep,,пред
61,anglal,adv loc,,"1. напред 2. изнад, над, поврх"
62,anglav,adv loc,,1. споља 2. испред
63,anglav čer,adv phr loc,,1. ван куће 2. од куће
64,anglav milaj,n phr,,пролеће
65,anglav mismeri,n phr,,пре подне
66,angro,n m,,"1. јаје 2. мудо, јаје"
67,anol,v tr,,"1. донети, носити 2. приложити, допринети"
68,aprili,n m,,април
69,araći,adv temp,,јуче
70,aresol,v itr,,"стићи, допрети, достићи"
71,aro,n m,,брашно
72,asal,v itr,,"смејати се, осмехнти се"
73,asape,n m,,1. смех 2. осмех
74,asavimasko,adj m,,"смешан, комичан"
75,asavol,v tr,,"ругати се, исмевати"
76,astarol,v tr,,"ухватити, заузети, зграбити, захватити"
77,ašundo,adj m,,бучан
78,ašunipe,n m,,звук
79,ašunol,v itr,,"слушати, чути"
80,auto,n m,,"аутомобил, кола"
81,autobuso,n m,,аутобус
82,autoriteto,n m,,власт
83,aver,adj indef,,следећи
84,averarači,adv temp,,"прекјуче, дан пре тога"
85,averčande,adv mod,,"1. иначе, другачије 2. друкчије, разнолико"
86,averčando,adj m,,"друкчији, различит"
87,averdata,adv temp,,други пут
88,averďes,adv temp,,наредног дана
89,averthande,adv loc,,"другде, било куда"
90,averthara,adv temp,,прекосутра
91,avgusto,n m,,август
92,aviono,n m,,авион
93,avipe,n m,,"1. долазак, стизање 2. повратак"
94,avlija,n f,,двориште
95,avol,v itr,,1. доћи 2. постати 3. појавити се
96,avol,v cop itr,,бити
97,avol ando staňe,v phr itr,,"бити способан, бити у стању"
98,avol hoľariko,v phr itr,,бити љут
99,avri,prep,,ван
100,avrľal,prep,,1. изван 2. испред
101,avrľal,adv loc,,"ван, напоље"
102,ažućaripe,n m,,очекивање
103,ažučarno,adj m,,стрпљив
104,ažućarol,v itr,,чекати
105,ažućarol,v tr,,очекивати
106,ažutil,v tr,,помоћи
107,badňo ďes,n phr m,,"сва троица, багњи дан"
108,bajer,n m,,лепо место
109,bakhrano mas,n phr m,,овчетина
110,bakhri,n f,,1. ован 2. коза
111,bakhro,n m,,1. овца 2. јарац 3. јаре
112,bakhroro,n m,,ја(г)ње
113,bal,n m,,коса
114,balano,adj m,,"длакав, космат"
115,balari,n m,,свињар
116,balega,n f,,измет од коња
117,balengo mas,n phr m,,свињетина
118,bali,n f,,1. крмача 2. свиња
119,balo,n m,,"брав, свиња"
120,balo po ražňo,n phr m,,свиња на ражањ
121,baloro,n m,,"прасе, прасац"
122,balval,n f,,"1. ветар 2. олуја, бура"
123,baňa,n f,,"бања, купатило"
124,banana,n f,,банана
125,bandera,n f,,бандера
126,bango,adj m,,"сакат, хром"
127,banka,n f,,банка
128,bar,n m,,"камен, стена"
129,bar,n f,,"врт, башта"
130,baŕaripe,n m,,"васпитање, одгајање"
131,baŕarol,v tr,,"1. развити 2. одгајити, подићи"
132,bare bogiňe,n phr f,,велике богиње
133,barem,adv mod,,барем
134,baresko,adj m,,каменит
135,bari paraštuj,n phr f,,велики петак
136,barikanipe,n m,,1. понос 2. осионост
137,barikano,adj m,,важан
138,baripe,n m,,"1. развој, развитак 2. повећање"
139,baro,adj m,,"велико, огроман, висок (човек, дрво), дугачак, широк, простран, јак"
140,baŕol,v itr,,"порасти, повећати, дићи се, расти"
141,barvalipe,n m,,"1. имућност 2. богатство 3. својина, имовина"
142,barvalo,adj m,,"богат, имућан"
143,barvaŕol pe,v itr,,обогатити
144,baš,adv mod,,"чак и, баш"
145,bašalňi,n f,,"пушка, пиштољ"
146,bašavipe,n m,,"пуцањ, метак"
147,bašavol,v itr,,лајати
148,bašno,n m,,петао
149,baštovano,n m,,"баштован, вртлар"
150,batako,n m,,батак
151,bax,n f,,1. (добра) срећа 2. радост 3. срећа (осећање)
152,baxtalo,adj m,,"1. радостан, срећан 2. поносан"
153,baždaril,v tr,,"завити, бандажирати"
154,baziril,v itr,,базирати
155,beba,n f,,"беба, новорођенце"
156,Bečo,n m,,Беч
157,beda,n f,,"беда, катастрофа"
158,beng,n m,,ђаво
159,bengalo,adj m,,ђаволски
160,benzino,n m,,бензин
161,bešavňi,n f,,1. столица 2. клупа
162,bešol,v itr,,"седети, сести"
163,bespomočno,adj,,беспомоћан
164,bibax,n f,,"1. несрећа 2. зла срећа 3. зло 4. сажаљење 5. жалост, туга 6. незгода, невоља 7. жаљење"
165,bibaxtalo,adj m,,"тужан, бедан, јадан, несрећан"
166,bibaxtarol,v tr,,разтужити
167,biberi,n m,,1. бибер 2. паприка
168,bibi,n f,,"1. тетка, стрина 2. ујна 3. баба"
169,bibućako,adj m,,незапослен
170,bičalol,v tr,,послати
171,bičeresko,adj m,,без куће
172,bicikla,n f,,бицикла
173,bićinimasko,n m,,продавач
174,bićinipe,n m,,продаја
175,bićinol,v tr,,продати
176,bićivali,n f,,продавачица
177,bićivalo,n m,,продавач
178,bičo,n m,,бич
179,bifulado,adj m,,"дроњав, чупав"
180,bijandimasko odmori,n phr,,годишњи одмор
181,bijandipe,n m,,"1. детињство 2. рађање, порођај"
182,bijando ďes,n phr m,,рођендан
183,bijanol,v tr,,родити
184,bijanol,v itr,,родити се
185,bilačho,adj m,,"лош, рђав, зао, храпав, суров, штетан"
186,bilačipe,n m,,дрскост
187,biladžavimasko,adj m,,"бесраман, бестидан"
188,biľka,n f,,биљка
189,bilo kaj,adv phr indef,,било где
190,bilo sao,pron indef,,"било ко, било који"
191,bilo so,pron indef,,"ишта, било шта"
192,bimelalo,adj m,,чист
193,bioskopo,n m,,биоскоп
194,bipindžardo,adj m,,"непознат, незнан, туђ, чудан"
195,bipindžardo,n m,,1. незнанац 2. странац
196,bipindžaripe,n m,,страност
197,biromňengo čher,n phr f,,кошница
198,biromňi,n f,,пчела
199,birto,n m,,кафана
200,biš,num card,,двадесет
201,biš drom,num phr mult,,двадесет пута
202,biseri,n m,,бисер
203,bistarol,v tr,,заборавити
204,bišto,num card,,двадесети
205,bitanga,n f,,"битанга, лопов"
206,bizuralipe,n m,,слабост
207,blagoslovil,v tr,,благословити
208,bledo,adj,,блед
209,blisko,adj,,"ближе, близу, близак, присан"
210,blizanco,n m,,близанац
211,bloko,n m,,блок
212,bluza,n f,,блуза
213,bogiňe,n f,,богиње
214,boja,n f,,"боја, колор"
215,bojil,v tr,,"офарбати, обојити"
216,bojleri,n m,,бојлер
217,bokala,n f,,бокал
218,bokh,n f,,"глад, жуд"
219,bokoli,n f,,колач
220,boldipe,n m,,"1. скретање 2. кретање, покрет"
221,boldipe,n m,,крштење
222,boldo,adj m,,крштен
223,boldol,v tr,,"1. обрнути, окренути, преокренути, оборити, преврнути 2. вратити"
224,boldol pe,v itr,,вратити се
225,bolnica,n f,,болница
226,bolničari,n m,,болничар
227,bolničarka,n f,,болничарка
228,bombona,n f,,"бомбона, слаткиш"
229,boranija,n f,,боранија
230,borco,n m,,"борац, војник"
231,bori,n f,,"1. снаха, снаја, шурњаја 2. невеста"
232,boro,n m,,бор
233,bosanco,n m,,босанац
234,bov,n m,,пећ
235,branipe,n m,,"заштита, одбрана"
236,braon,adj,,"смеђ, мрк, браон"
237,brdo,n m,,брдо
238,brego,n m,,брег
239,breza,n f,,бреза
240,briga,n f,,"јад, брига, жалост заштита"
241,brijači,n m,,"бријач, бријачица"
242,brijol,v tr,,обријати
243,brijol (pe),v itr,,бријати (се)
244,brinol,v tr,,бринути
245,brinol pe anda,v phr tr,,побринути се о
246,britva,n f,,ђепни ножић
247,brodo,n m,,брод
248,brojil,v tr,,"бројити, рачунати"
249,brš,n m,,година
250,bršeski vŕama,n phr f,,годишње доба
251,bršind,n m,,киша
252,bršind dol,v phr itr,,киша ромиња
253,bršindalo,adj m,,"кишан, кишовит"
254,bruso,n m,,брус
255,bruxo,n m,,брух
256,buba,n f,,"кукац, буба"
257,bubreško,n m,,бубрег
258,bubuľicano,adj m,,бубуљичав
259,bučarni,n f,,радница
260,bučarno,n m,,радник
261,bučarno,adj m,,"1. запослен, верен 2. заузет, запослен 3. драгоцен, вредан"
262,bućarno stažo,n phr,,радни стаж
263,bući,n f,,"1. рад, посао 2. бизнис 3. запослење"
264,buďil,v itr,,плеснивити се
265,budućnost,n m,,будућност
266,budžako,n m,,ћошак
267,bugari,n m,,бугар
268,buka,n f,,"бука, шум"
269,buka,n f,,образ
270,bukhalo,adj m,,гладан
271,buko,n m,,јетра
272,bukva,n f,,буква
273,bul,n f,,задњица
274,buľarol,v tr,,раширити
275,buňevka,n f,,"буњевка, хрватица"
276,bunil,v tr,,"показати, демонстрирати"
277,bunipe,n m,,"забуна, збуњеност"
278,bure,n m,,буре
279,burno,adj,,буран
280,bušil,v tr,,пробушити
281,but,adj indef,,"веома, врло, много, многи"
282,but drom,adv phr temp,,"много пута, често"
283,but gunoj,n phr m,,гомила ђубрета
284,but vŕama,adv phr temp,,дуго (време)
285,butina,n f,,бут
286,buto,n m,,бут
287,buvlo,adj m,,широк
288,buzni,n f,,коза
289,čače,adv mod,,"доиста, збиља"
290,čačipe,n m,,"1. истина 2. стварност, реалност"
291,čačuno,adj m,,"истинит, веран, прави, правилан, стваран, истински"
292,čajo,n m,,чај
293,čalavol,v tr,,"ударати, куцати"
294,čamco,n m,,чамац
295,čang,n f,,колено
296,čar,n f,,трава
297,cara,n f,,шатор
298,caraći hanavni,n phr f,,шаторска мотка
299,carako platno,n phr f,,шаторско платно
300,čarapa,n f,,чарапа
301,carica,n f,,царица
302,carinarnik,n m,,царинарник
303,caro,n m,,"цар, император"
304,čaro,n m,,"чиња, здела"
305,čarobno,adj m,,"магичан, чаробан"
306,čaŕol,v itr,,"пасти, косити"
307,čaršavo,n m,,чаршав
308,carstvo,n m,,"1. империја, царство 2. краљевина"
309,časovničari,n m,,часовничар
310,častil,v tr,,"поштовати, одати част"
311,často,n m,,"част, поштовање"
312,čavka,n f,,чавка
313,če,part fut,,"ће, хтети"
314,cedil,v tr,,"истиснути, исцедити"
315,čejori,n f,,девојка
316,čelavo,adj,,"гологлав, без шешира"
317,čen,n f,,минђуша
318,čerain,n f,,звезда
319,čere,adv loc,,кући
320,čergari,n m,,чергар
321,ćerimata,n f,,"враџбине, чаролија"
322,ćeripe,n m,,"1. производња 2. творевина, стварање"
323,ćerko,adj m,,"кисео, горак"
324,ćermo,n m,,црв
325,ćerol,v tr,,"1. урадити, направити, чинити 2. поступати 3. руковати, поступати 4. поступати, обратити 5. конструисати, изградити"
326,ćerol o utisko,v phr tr,,"импоновати, направити утисак"
327,ćerol pale,v tr,,обновити
328,ćerol pe,v itr,,"претварати се, правити се"
329,ćerol pe voľa,v phr tr,,"допасти се, угодити"
330,često,adv temp,,често
331,četa,n f,,чета
332,cev,n f,,"цев, туба"
333,cevanica,n f,,"гњат, цеваница"
334,čhadol,v itr,,поврачати
335,čhavro,n m,,"1. дечак, момак (циганин) 2. син (циганин) 3. дете"
336,čhelarno,n m,,играч
337,čhelavni,n f,,играчица
338,čhelavno,n m,,играч
339,čhelipa,n f,,1. игра 2. плес
340,ćhelol,v itr,,"1. играти, плесати 2. забавити"
341,ćhelol pe,v itr,,играти (се)
342,ćher,n m,,кућа
343,čhib,n f,,језик
344,čhidipe,n m,,1. друштво 2. заједница
345,čhinavipe,n m,,"ceћeње, просек, рез"
346,čhindo mas,n phr m,,исецкано (млевено) месо
347,čhindol,v tr,,"поцепати, подерати, раздерати, уништити, разорити, удесити"
348,čhindol,v itr,,цепати се
349,čhinipe,n m,,"расцеп, просек, рез"
350,čhinol,v tr,,"1. сећи, изрезати 2. пилити, тестерисати 3. скратити 4. расцепити 5. ољуштити"
351,čhon,n m,,1. Месец 2. месец (планета)
352,čhor,n f,,1. брада 2. плетеница
353,čhori,n f,,"1. девојчица, девојка (циганин) 2. ћерка (циганка)"
354,čhudol,v tr,,"1. бацити 2. не успети, подбацити"
355,čhudol pe,v itr,,свући се
356,čhungar,n m,,пљувачка
357,čhungarol,v itr,,пљувати
358,čhuri,n f,,нож
359,či,part neg,,не
360,či počinpe,adv phr mod,,бесплатно
361,či…či,conj,,ни….ни
362,čićen,n m,,"маст, сало, мазиво"
363,ćićidol,v tr,,стезати
364,čidićipe,n m,,слепоћа
365,ćidipe,n m,,"1. организација 2. скупљање, збирка 3. друштво, компанија"
366,ćidol,v tr,,"скупити се, скупити, скупљати"
367,ćidol pe,v itr,,скупити се
368,čidžanglipe,n m,,незнање
369,čifutkiňa,n f,,Јеврејка
370,čifuto,n m,,Јеврејин
371,cigla,n f,,цигла
372,ćija,n f,,кључ
373,čikarol,v itr,,ваљати се у блату
374,čikarol pe,v itr,,упрљати се
375,čikat,n m,,чело
